Minisector,ALO,LEC,Fastest
0,275.11970053352775,276.2683723843736,LEC
1,301.5471145950126,302.46295471169464,LEC
2,299.37941689096596,299.9722673106418,LEC
3,165.86373593684988,182.58698061960473,LEC
4,117.7880748194919,113.60897876617766,ALO
5,233.63456345834703,232.2271242014839,ALO
6,291.6147455412917,293.81876541175177,LEC
7,309.6134938324362,311.04265846857146,LEC
8,162.66548878871038,174.71161406687588,LEC
9,135.97830680679087,133.22838933065665,ALO
10,249.59368189737376,247.0316070288413,ALO
11,291.1528098402828,287.82916744129716,ALO
12,304.8108915033037,306.4329048685714,LEC
13,286.9275254158298,281.58563904717573,ALO
14,299.47476907150417,294.6842257454545,ALO
15,302.8279768450216,296.3071366276894,ALO
16,255.0087683319705,259.10274203670997,LEC
17,223.28048078844745,222.73350425988778,ALO
18,283.001391718789,281.66231168629844,ALO
19,311.39975172698416,313.4841157096109,LEC
20,315.88827393662336,324.21354653121693,LEC
21,218.4517926617643,218.03854623612122,ALO
22,256.15173852062554,254.77102320312304,ALO
23,128.3778768271025,128.14400220746597,ALO
24,204.53875571863946,200.8578608122996,ALO
25,255.0,253.6772706909091,ALO
