Minisector,NOR,LAW,Fastest
0,322.22814069943473,317.16313094276336,NOR
1,319.4497992072804,313.3707730690909,NOR
2,169.95047516814947,166.25187647728677,NOR
3,163.74573246476191,159.1767163019174,NOR
4,200.48259446194243,197.16467117894973,NOR
5,150.32876751324682,147.58303673513421,NOR
6,207.16824905627982,205.41873888130974,NOR
7,272.6069833743916,272.8648452714286,LAW
8,293.0217024795592,292.41948953641736,NOR
9,288.96514733803923,286.0664060286731,NOR
10,240.00432407685884,235.3715104960252,NOR
11,241.10552996692786,241.43060091092372,LAW
12,220.42458668654245,211.93451388099396,NOR
13,174.7665390971492,173.61859953637287,NOR
14,142.02820744701768,140.42454791115603,NOR
15,133.70627446133105,132.08035445547543,NOR
16,207.14592621714286,210.7020897854043,LAW
17,272.17052913015874,269.0911760813494,NOR
18,200.98616366506667,180.8225075972789,NOR
19,114.38360308569008,115.54685258933958,LAW
20,212.3542848914286,206.58594878207197,NOR
21,189.05060596236558,180.7692197412665,NOR
22,252.6782899321905,253.5397684440404,LAW
23,276.3172021285714,280.14693379741936,LAW
24,303.0339587131345,306.75453391238096,LAW
25,313.0,,NOR
