Minisector,GAS,SAI,Fastest
0,267.9856342405211,267.2402326192431,GAS
1,285.6338365947584,286.7000032644184,SAI
2,292.84782571226924,292.18786991531834,GAS
3,126.61508501971278,125.75517200592446,GAS
4,194.35389247042076,196.77855987119221,SAI
5,253.16402154279558,254.53487149134045,SAI
6,139.41831244862283,137.0729362554697,GAS
7,203.8152968679089,201.65533918996698,GAS
8,257.8039887227701,258.35972794533234,SAI
9,278.25416634074077,280.1079824055884,SAI
10,224.81139217766008,230.98963334904875,SAI
11,179.04898627204136,169.03769855431062,GAS
12,193.3281836307066,187.4974803280432,GAS
13,144.60655034689344,139.09718929849512,GAS
14,173.00775827285176,172.0390384296296,GAS
15,156.30367592233148,153.21528647023553,GAS
16,217.96353165674026,218.48761567242255,SAI
17,228.96735651367865,224.91403991713344,GAS
18,233.34625297277793,232.28460815230102,GAS
19,238.35019873929733,231.4608564266502,GAS
20,144.21880177516385,143.66405015847727,GAS
21,134.74983148840457,128.09518876915962,GAS
22,172.37636683445288,167.10425735066727,GAS
23,149.48475091198443,144.1233718859274,GAS
24,227.55137713263366,227.9684030299543,SAI
