Minisector,VET,LEC,Fastest
0,279.480777340056,286.9935209770308,LEC
1,118.49873034185464,122.43118020729732,LEC
2,162.54367114757613,167.84240787252833,LEC
3,215.60170385454546,210.7384833921429,VET
4,161.00097403504734,164.96728575587554,LEC
5,245.80597650526315,248.24307316847413,LEC
6,203.73623021449274,208.45857402772745,LEC
7,136.07319604761904,140.14783158119957,LEC
8,235.43500016,238.65000668434115,LEC
9,279.98727688571427,279.4822649934248,VET
10,283.07352847058826,284.02769505882355,LEC
11,145.76060337618694,147.66092290135185,LEC
12,222.4405299016785,227.52648979047618,LEC
13,275.92708319999997,273.6192716888889,VET
14,271.50952380952384,277.53815949469055,LEC
15,100.86050989922958,104.13334608794327,LEC
16,220.49488055037315,226.89416799999998,LEC
17,274.5125701539077,275.02708406666665,LEC
18,302.76666666666665,294.37498058338736,VET
19,316.32787115684584,305.2199777809524,VET
20,323.83166656,308.88531756190474,VET
21,297.44444444444446,295.28474912239767,VET
22,157.66979121292925,161.29078274654378,LEC
23,241.46224850125313,239.03674544615555,VET
24,285.89328861122357,277.8818631170868,VET
25,299.71249919999997,,VET
