Minisector,ANT,STR,Fastest
0,303.40013156432144,298.90601181797973,ANT
1,200.73280605710588,184.93815643738176,ANT
2,211.9803595813691,223.59063862506466,STR
3,273.84743681940415,275.5784478113052,STR
4,247.5720305346351,229.2066895068436,ANT
5,125.27770809862604,123.73946026422212,ANT
6,199.79885257711655,201.86427935534397,STR
7,231.9612955716336,230.66337464419487,ANT
8,216.00567024063295,214.39402882764873,ANT
9,222.66496271157175,234.9843396262307,STR
10,270.9632211274643,272.86030139946234,STR
11,290.872402697984,289.98781142518595,ANT
12,304.9083959899749,302.3391761359685,ANT
13,321.0353279235396,319.18010381287775,ANT
14,328.54428575193276,324.0138095238095,ANT
15,223.774064262657,211.76036289453074,ANT
16,229.18534740076677,235.7118497316926,STR
17,280.52925806887873,284.57911416256997,STR
18,303.5206765142703,282.346965502163,ANT
19,142.54614688756413,137.01633386977855,ANT
20,190.85714113891026,182.71484611108846,ANT
21,190.94376727401223,144.81955404456852,ANT
22,133.12905487131036,155.64441532794336,STR
23,231.60654497948914,244.61797281208962,STR
24,294.3894883126207,284.9889054610281,ANT
