Minisector,RIC,ALB,Fastest
0,318.83753837754847,320.1284231556663,ALB
1,326.5250000197531,326.99953507032444,ALB
2,321.6641516356525,322.0502383009524,ALB
3,174.32260051685972,167.70060096146813,RIC
4,136.1162229164021,135.94743108998776,RIC
5,268.8394498230008,268.7600492503556,RIC
6,300.0150977800866,301.1035374017403,ALB
7,307.6202082666667,309.075,ALB
8,255.54525966984127,257.9682619977143,ALB
9,155.80365021676747,156.02973076178915,ALB
10,224.42520517530863,223.63664108140162,RIC
11,231.2819008488692,224.87709736780045,RIC
12,206.31245853904056,204.3776201204301,RIC
13,274.5081525797101,277.00984833939395,ALB
14,306.65804756087033,307.8419640380952,ALB
15,315.07312496,316.7803296676719,ALB
16,254.5972655712956,252.37266509402366,RIC
17,215.3016709924757,220.89893377933365,ALB
18,277.5600112138528,279.3985764752892,ALB
19,307.78396305189756,310.37534497672203,ALB
20,316.09642858345865,322.03625008,ALB
21,297.8257955555556,293.5198805308845,RIC
22,213.8611907214319,213.62939226622876,RIC
23,268.7302126836959,273.3334700079485,ALB
24,303.3657879147392,305.7009525180953,ALB
