Minisector,BOT,RIC,Fastest
0,257.6705217735752,259.6007450732198,RIC
1,132.74718074934498,134.24075709410226,RIC
2,263.0421134145893,266.68817613063936,RIC
3,303.3173114902327,308.55227448163265,RIC
4,302.84174114285713,306.9826969186641,RIC
5,309.08636979157575,314.64834556207023,RIC
6,315.2905863901235,320.3854356290268,RIC
7,316.69283943427456,319.21654695256393,RIC
8,205.07385736069347,202.93995300558754,BOT
9,198.11608139537566,197.31992973002033,BOT
10,184.47436734303437,188.4045686266049,RIC
11,167.42925946472192,165.04484633296454,BOT
12,252.37828293414955,250.77372577727328,BOT
13,276.2866056894407,275.33953576852736,BOT
14,279.43905668253626,275.74673758284536,BOT
15,279.18456363614524,278.0325046706547,BOT
16,182.32092719325144,188.7768451349178,RIC
17,193.22027229798033,197.88811825957066,RIC
18,241.19366301681043,241.86972631113707,RIC
19,286.23177840865617,288.5909025333333,RIC
20,305.8114582761905,312.4668718796864,RIC
21,312.12890514957223,320.22470239999996,RIC
22,309.83776453192235,318.0303247741721,RIC
23,260.64389364343367,284.75551013947774,RIC
24,114.25145466071461,112.89000997121691,BOT
25,227.5249984,227.13333333333333,BOT
