Minisector,LEC,PER,Fastest
0,308.9438986666667,310.0425797164815,PER
1,175.1822594265971,212.83140991544033,PER
2,145.29107097035993,141.1192097777926,LEC
3,225.49443523255295,224.17770738956054,LEC
4,165.3297992778408,166.60353988422486,PER
5,183.3980043460809,175.20974540142046,LEC
6,255.0260668803669,254.81074475238097,LEC
7,280.9062052113815,282.29617819364825,PER
8,288.5651313131313,291.2000834915555,PER
9,259.98495220184736,268.4078564198942,PER
10,242.97275479264482,242.52534868917175,LEC
11,244.17825081342173,235.4939223288889,LEC
12,193.69730089636582,199.33073923231223,PER
13,124.84145091536968,121.9255544097277,LEC
14,132.9182449711931,130.57142252828788,LEC
15,171.6798328991839,168.35607668290473,LEC
16,246.4259090909091,248.64309159022633,PER
17,231.106865362387,237.02168410515588,PER
18,112.311817801879,113.33246163430155,PER
19,203.18205074157333,195.62308596091754,LEC
20,203.5695675768295,201.09922135366043,LEC
21,239.75873718816283,235.5638843683744,LEC
22,267.8830533448812,266.577048021112,LEC
23,287.8355617538513,286.80331990453783,LEC
24,300.9623241861229,301.9470100078431,PER
25,306.9562496,306.4821430857143,LEC
