Minisector,RUS,GAS,Fastest
0,290.2706583970441,286.09069727625973,RUS
1,301.2601040281437,297.57541558257384,RUS
2,304.2790849673203,303.5252714801542,RUS
3,300.88038352791784,289.048529132549,RUS
4,169.00812278709654,170.73971332063493,GAS
5,207.86217027849096,200.44744455111112,RUS
6,236.12188330675173,231.91005872803055,RUS
7,266.04331759382677,264.53882352941173,RUS
8,250.68361293762518,247.6238270596097,RUS
9,159.52494523656085,160.47732891766134,GAS
10,221.90852330588888,221.17044979422903,RUS
11,123.29342497331731,123.68185743322752,GAS
12,224.2131897203326,226.5597121360809,GAS
13,173.51461520088998,178.93776901298594,GAS
14,210.8742365739473,207.08197957125446,RUS
15,242.6610235041512,234.903125015873,RUS
16,263.47779040404043,260.2960462417305,RUS
17,289.0611301431762,283.2588888888889,RUS
18,153.44754297060342,152.03311523088337,RUS
19,163.21910001255267,160.01360807720636,RUS
20,132.6072344871721,139.1042107855479,GAS
21,226.83558093210925,225.60776743480983,RUS
22,266.2538609625397,260.38139739912987,RUS
23,253.50515909079073,243.6343455053601,RUS
24,275.7544668994668,270.79975612485225,RUS
