Minisector,HAM,OCO,Fastest
0,309.8707383216562,317.55666613333335,OCO
1,316.21469299649124,329.25019495416444,OCO
2,311.2701392,335.0196759703704,OCO
3,231.7503755125596,222.14407216410257,HAM
4,222.91430959706958,222.4515721590806,HAM
5,118.62423670695226,112.0447634611616,HAM
6,214.71865668793708,212.3617548952381,HAM
7,268.002650569697,264.3948406349206,HAM
8,233.63267165866665,224.92466998921378,HAM
9,118.4729541407897,115.74138267354448,HAM
10,234.40859908944188,232.26583244190476,HAM
11,244.67699357681158,243.49891334492753,HAM
12,139.7075654950058,135.12698883809523,HAM
13,210.20954257495592,212.40679106877022,OCO
14,268.0868926926077,266.74608803265306,HAM
15,229.36512722962962,219.88905340613758,HAM
16,157.04175788444445,156.8003459259259,HAM
17,238.38699925333333,234.78990262046298,HAM
18,125.74903215591162,123.43654949487727,HAM
19,148.1324012550392,144.99177115047618,HAM
20,190.4363859657143,192.28293833760543,OCO
21,261.1419849956693,256.6277590441559,HAM
22,278.2791663746032,274.0552354927829,HAM
23,285.26150764263036,282.64714896842105,HAM
24,290.79344053864634,292.08832177052153,OCO
25,293.0,,HAM
