Minisector,SAI,RIC,Fastest
0,292.9148549101449,310.9730911078402,RIC
1,300.73100656623376,327.33684557714287,RIC
2,274.50266820266665,289.995809052105,RIC
3,113.7912399382668,110.66917481858022,SAI
4,231.52531977528935,230.7286960551724,SAI
5,273.43049954133335,287.2233594702762,RIC
6,202.36119639698717,226.94488925591398,RIC
7,175.46633732296436,171.2365837333382,SAI
8,216.61009120950177,215.23575915295908,SAI
9,222.53775596277603,227.48627199472136,RIC
10,119.80277344778231,121.82280491637408,RIC
11,235.5638520927834,233.52106864890217,SAI
12,119.66074322851331,123.74912451121564,RIC
13,227.92026573089643,226.99170079064075,SAI
14,273.98733468518793,273.6720005546667,SAI
15,215.8372848150865,219.4640115540816,RIC
16,207.13287720500347,200.4980018389597,SAI
17,253.64104924444447,252.6060209992674,SAI
18,196.33171034760935,204.8489819563865,RIC
19,194.16420690849128,185.86853407730982,SAI
20,269.05050984065815,263.2475079301266,SAI
21,289.4232868899717,288.4802648213541,SAI
22,168.52143472388366,171.27962600224546,RIC
23,220.54358357245937,214.5974877792396,SAI
24,276.23258380551,272.2774142618,SAI
25,,285.5770826666667,RIC
