Minisector,HAM,OCO,Fastest
0,276.66711244865496,271.9698804194486,HAM
1,309.8251037933333,299.33331955635157,HAM
2,331.3319752,312.23575794832954,HAM
3,342.20424134564104,318.6516607552448,HAM
4,344.9798610666667,321.5081844952381,HAM
5,342.9752383085714,323.5110116525821,HAM
6,214.99552427189025,190.5399487201814,HAM
7,107.46344800472713,104.26586490467211,HAM
8,199.1819186467879,194.1735342431117,HAM
9,269.4127839225374,267.96176959568055,HAM
10,296.2530961094948,293.68386262906614,HAM
11,154.7144467357104,147.27697434570877,HAM
12,95.43304725324614,94.86191914099733,HAM
13,121.21367615601942,113.4461601495521,HAM
14,216.87539193970676,211.27710913895504,HAM
15,185.63692369642118,191.82266221663494,OCO
16,220.20306777811197,222.2336041207248,OCO
17,179.94515780289242,182.50294938074074,OCO
18,229.80723551782316,246.8702874190909,OCO
19,274.11415301746507,283.03519851757574,OCO
20,236.1065310256085,231.2354100732437,HAM
21,143.30480675321482,137.44481074878306,HAM
22,96.82089285598472,97.4726119186003,OCO
23,127.79046919532196,127.55298446768398,HAM
24,229.5636659018073,230.60111727382056,OCO
25,258.79499904,,HAM
