Minisector,SAI,PER,Fastest
0,292.58690556341446,293.4756303090128,PER
1,304.38941662400003,307.3522865653781,PER
2,309.2961768451019,313.49293205360607,PER
3,313.5431830892386,314.7105764319533,PER
4,200.61832324246546,193.964190749899,SAI
5,211.53151296653593,211.3323949409994,SAI
6,268.18401764,267.4414868525205,SAI
7,274.0803927754377,270.4520180462585,SAI
8,181.90301948064626,185.42107849932833,PER
9,143.01535535350862,144.10659562398246,PER
10,172.48664880326575,184.11184614302783,PER
11,258.04304631516527,259.8598929928158,PER
12,250.92784053333332,249.63836290666669,SAI
13,225.3344255770561,234.42966792951344,PER
14,274.2382302780952,274.69410670597125,PER
15,160.99471224532823,169.32364562989767,PER
16,220.1038624993789,219.00961107602052,SAI
17,242.00979592420703,228.80294220484583,SAI
18,133.59472959996643,132.9007760704407,SAI
19,241.52479850733212,246.96721716079398,PER
20,282.20850185148305,283.0804239558454,PER
21,256.8791692610096,223.96121722894227,SAI
22,135.8993157897807,139.82606481842134,PER
23,206.43243380173382,216.5260771466311,PER
24,272.5644872960111,271.3281023431305,SAI
