Minisector,NOR,LEC,Fastest
0,278.237145778319,279.52151331787036,LEC
1,297.02377498744124,297.35149384355435,LEC
2,234.4652011976014,242.50322081270508,LEC
3,109.63735250177525,112.39184622142908,LEC
4,124.2532853581793,125.4054243210948,LEC
5,250.01943440871963,248.08890140395258,NOR
6,241.0152542464469,257.70686503043646,LEC
7,121.59979570197522,119.85908090436558,NOR
8,244.9703897020586,241.27410050250526,NOR
9,251.09633181153146,250.83428472139946,NOR
10,208.00731195588244,207.26178342667632,NOR
11,131.97536252901403,138.71003777796074,LEC
12,205.97917232722833,195.05449538469713,NOR
13,259.6738572621,263.18128960937435,LEC
14,111.62951542245705,116.38233271081629,LEC
15,186.5264134000205,176.23929848624988,NOR
16,257.0028712780424,251.02010673877604,NOR
17,288.53783356395604,284.7225170068871,NOR
18,302.8263951879061,299.8512247204023,NOR
19,308.14640359017545,306.4419408421052,NOR
20,309.31593756,309.59309036,LEC
21,157.86645354409288,187.74440925198158,LEC
22,143.4687728202919,125.94644519292294,NOR
23,191.03903491444314,201.73179146818183,LEC
24,233.88070164540966,222.27345721442114,NOR
25,,261.8937506666667,LEC
