Minisector,STR,PER,Fastest
0,260.7287768101793,257.2991298703107,STR
1,128.24329429115056,133.57427434358985,PER
2,265.20868301626257,261.749608,STR
3,306.3122363919022,305.6703506180326,STR
4,304.6444170906911,303.7948413008818,STR
5,313.5182978298319,312.8641352507688,STR
6,319.2174383506173,318.0166885643739,STR
7,319.0154661996499,312.6921475282051,STR
8,190.3152124595516,204.81831697364342,PER
9,192.1065201086656,189.82006071011554,STR
10,179.86765101122973,190.53294597954547,PER
11,163.04624736087464,164.46892756378855,PER
12,253.78785141090725,248.98160043405485,STR
13,282.20168905719026,283.33618963789974,PER
14,280.02920741960804,279.256013635468,STR
15,271.94236121685145,276.84181359975423,PER
16,182.33277980275167,182.31339656039833,STR
17,189.69515633528417,193.36822043119682,PER
18,237.63557485400764,232.94360015661374,STR
19,286.50818334307013,282.58192847677884,STR
20,310.9854811026224,305.1607139809524,STR
21,318.44784570992135,315.43350563944375,STR
22,317.44315478095234,315.38428572038094,STR
23,254.2612580331059,273.4442443793483,PER
24,112.70070819341827,112.05916519750892,STR
25,231.7500032,224.0,STR
