Minisector,PER,RUS,Fastest
0,244.31323568953712,241.16573698033795,PER
1,277.366944167718,272.17831581698164,PER
2,180.2238389281439,175.74630641792794,PER
3,148.79709163705834,143.42923909648061,PER
4,254.62159997384754,254.51097550173162,PER
5,265.7395781735727,267.8190218666667,RUS
6,225.6239092530939,239.0179382825397,RUS
7,204.54279634708416,216.7026459314195,RUS
8,154.5577589297571,158.72764309124784,RUS
9,209.43537463077317,211.46837033880183,RUS
10,268.5023348738949,266.02664274618934,PER
11,123.0432868482469,123.65463766413056,RUS
12,204.70179534365812,194.75796587924327,PER
13,268.4458598484849,264.59934012441806,PER
14,290.1931450721084,285.38725855719304,PER
15,298.59014223871367,290.25845546755556,PER
16,245.03634998881844,254.4176155750108,RUS
17,134.20245128786527,130.75825819024067,PER
18,133.10281354054067,132.36582884295947,PER
19,119.25538929349055,123.08922104990044,RUS
20,221.3229202835055,220.87860173079866,PER
21,253.68984444444447,252.58206449402408,PER
22,240.94865495234174,247.8815052025905,RUS
23,214.61171319102354,224.8810382500068,RUS
24,140.22533566400244,136.00992599967515,PER
25,,209.69563147790853,RUS
