Minisector,PER,RUS,Fastest
0,292.37612861555215,286.1290773409524,PER
1,209.2089241918797,209.0016594901099,PER
2,225.80384279536142,224.82517247531374,PER
3,274.1497069234533,270.2026444539362,PER
4,249.01467658450167,241.16632801009007,PER
5,132.55067723330006,132.5728226605729,RUS
6,212.67638772167044,214.7672971220202,RUS
7,257.14806821388714,260.1073732424119,RUS
8,246.44721202381749,252.91984835740698,RUS
9,231.30658821804985,233.95654076761727,RUS
10,275.6661821884092,272.75802856412184,PER
11,294.3899368012426,289.6684348882452,PER
12,303.8828127911111,301.1664457198746,PER
13,308.16907902556386,305.85699554971427,PER
14,311.3117647372549,303.0836169386667,PER
15,268.21262633802314,257.90606856171183,PER
16,240.13754675870317,242.25422246345914,RUS
17,278.485781494722,275.09441922599046,PER
18,296.80263518695904,289.36938669515524,PER
19,156.3298408815777,151.74491405335604,PER
20,209.1120091263734,210.61334680702726,RUS
21,188.49093526531183,188.48855299569485,PER
22,137.10975051271433,138.5738167002805,RUS
23,238.70394073469205,231.95165171315261,PER
24,281.67376554739394,274.90950221894974,PER
25,,286.7107145142857,RUS
