Minisector,HAD,BOR,Fastest
0,280.42188096628036,282.83424533074975,BOR
1,287.62189117254525,301.9173807475132,BOR
2,273.3648128051098,280.1714120968152,BOR
3,174.14522480774056,156.92638587138578,HAD
4,116.22647836035298,111.81124308676343,HAD
5,244.25856073612465,241.9301784345116,HAD
6,285.8601324901587,284.2374809094482,HAD
7,291.8989922873252,287.3743240913131,HAD
8,175.80023461869487,168.30851118625807,HAD
9,140.53437143710602,136.89146034102302,HAD
10,257.76695751566376,253.35410553481483,HAD
11,292.22595248761905,293.67465644249523,BOR
12,292.95138828270177,294.4239014045659,BOR
13,267.67752550937814,265.951081578377,HAD
14,281.3620535714286,283.473106878365,BOR
15,276.43307166333966,278.88153918787503,BOR
16,245.48765432098767,233.61753355419432,HAD
17,219.06336697747128,219.87483922287012,BOR
18,275.55518922358857,281.56725174222225,BOR
19,297.4031570858035,307.46155256574224,BOR
20,296.7013888888889,303.85603094717703,BOR
21,228.856237597551,213.93089236867996,HAD
22,238.21803412557574,234.18205169695597,HAD
23,134.160701360842,128.6512597756391,HAD
24,213.2107631709789,209.0903568710214,HAD
