Minisector,HAM,STR,Fastest
0,293.42067343946127,315.5572717488212,STR
1,212.02559322723917,203.1123252225834,HAM
2,143.86191176950229,138.2492422548382,HAM
3,218.7246012657085,213.58059368123995,HAM
4,160.34824718753785,156.34500313048574,HAM
5,183.33173404848483,179.14286433641024,HAM
6,247.94889142454758,250.85224899963833,STR
7,273.09295067375797,277.4753784491775,STR
8,279.1791609765854,284.6482552892692,STR
9,261.6580785740289,250.92219801480644,HAM
10,242.7716508082251,242.57828240205365,HAM
11,241.65760318423276,232.30881418023722,HAM
12,209.6806267295046,195.97109438518518,HAM
13,137.83121366395383,129.34358889101583,HAM
14,148.99247288081511,132.8748244575165,HAM
15,175.67351987734185,177.7482619634568,STR
16,245.54847121402386,257.1658739479253,STR
17,238.38896975413627,223.33258361325989,HAM
18,115.3726389760521,112.4699295428661,HAM
19,191.28200450424242,202.46774534969697,STR
20,201.80723019802744,191.73755123429962,HAM
21,232.76866123753845,233.14530193309943,STR
22,259.75778468414455,269.8577486848677,STR
23,276.89533703988457,293.5792205415758,STR
24,288.7596195163359,311.0448863709091,STR
