Minisector,GAS,ALB,Fastest
0,269.77554606065047,270.0180205203021,ALB
1,287.4726323610251,289.2386081079039,ALB
2,293.8637782200206,296.98177066666665,ALB
3,128.53813146734652,130.27870083109622,ALB
4,198.47675390210637,193.3433580697059,GAS
5,259.44047269423663,258.2981968374712,GAS
6,142.51607138458715,144.91102894813267,ALB
7,208.07780132378474,201.96003920183588,GAS
8,260.0709896128302,257.8691989182867,GAS
9,282.12226880000003,281.3487368740083,GAS
10,229.38778881337572,234.84787594894314,ALB
11,172.07125421245598,181.2664001844017,ALB
12,191.6085061824457,189.72611830536945,GAS
13,145.00483448270668,147.2674370827774,ALB
14,175.4812642489913,172.64923166182223,GAS
15,159.33094608974713,161.83691820635576,ALB
16,216.90864845670205,212.50245641516247,GAS
17,229.3063367585173,238.29393731680352,ALB
18,234.1765400484992,238.45053118656102,ALB
19,236.55137474281597,251.56266591742036,ALB
20,146.43772812999381,142.8506937748023,GAS
21,136.52113834981606,141.25273998093078,ALB
22,169.41939202743364,166.38481224183812,GAS
23,150.00423474659297,150.563461517029,ALB
24,229.04401824,225.08118523343379,GAS
25,257.65271949048514,257.1166677333333,GAS
