Minisector,HUL,OCO,Fastest
0,289.1618788510363,285.2504916078431,HUL
1,138.03632657924163,122.77346745897168,HUL
2,137.75434952707246,162.46428434285716,OCO
3,227.8616536220109,211.31068634531522,HUL
4,159.0745536530783,159.4989729681445,OCO
5,238.04122683508774,245.0494133260743,OCO
6,232.58453959183672,203.25240092753623,HUL
7,130.4537281824192,134.4975149343952,OCO
8,225.44071967607098,235.11124874666666,OCO
9,273.1724818222222,279.6578337961086,OCO
10,288.4898357600307,284.081863027451,HUL
11,157.25799752634921,142.8180731763056,HUL
12,208.1181114900037,224.7536462495675,OCO
13,265.30773732063494,273.0391736952381,OCO
14,280.2376150265387,270.11194082329644,HUL
15,105.28722527234387,99.38906888443236,HUL
16,205.0553177123634,222.26705629937499,OCO
17,266.2086485214286,277.5917315,OCO
18,291.2093746,300.7757814,OCO
19,302.28674263342407,313.8313493638095,OCO
20,309.15111104,320.89467028953237,OCO
21,301.42166848,286.4617627607843,HUL
22,156.30129462643552,147.1121101683747,HUL
23,226.3361094095238,235.441835340839,OCO
24,274.90908756610037,280.5634807215686,OCO
