Minisector,SAI,ALB,Fastest
0,268.20942706484635,254.6668079784985,SAI
1,133.71672328771143,131.75762839063796,SAI
2,194.9210848588236,195.4735178390003,ALB
3,248.48418337651947,245.86754835199437,SAI
4,262.5105543356989,257.5573197828293,SAI
5,172.22731021866838,174.6114333041545,ALB
6,140.94458327426435,144.5994689334171,ALB
7,178.05889178521505,178.9898252247453,ALB
8,103.71949974301548,101.87735606070258,SAI
9,71.45408065088652,76.0605939912761,ALB
10,94.44920961024344,93.06502875851002,SAI
11,181.21137688485135,179.0869035103047,SAI
12,250.3649190938738,246.07360655089815,SAI
13,273.6130322817229,269.93929432922954,SAI
14,285.67596420660874,283.9042881826945,SAI
15,113.04036410646367,125.66651191810669,ALB
16,145.30723107437635,132.52827845434203,SAI
17,187.26220431044862,189.037350821323,ALB
18,191.5555493793974,188.214612620417,SAI
19,208.74813501073584,210.45614431264642,ALB
20,133.53667681684132,136.20655474798787,ALB
21,112.32743222342754,123.77976865435052,ALB
22,92.65256495204001,90.84635266433602,SAI
23,195.0331739531884,191.29571437037035,SAI
24,253.93560955208477,247.9324740120216,SAI
25,,265.0812512,ALB
