Minisector,PIA,HAM,Fastest
0,253.06232700391536,250.69756484034633,PIA
1,206.02886315649647,218.78029061651756,HAM
2,203.22941095236658,198.16032206768088,PIA
3,260.6706580296414,255.93495651091416,PIA
4,276.7271363707937,269.2279541361039,PIA
5,290.0213646328889,288.6827915426128,PIA
6,158.78980230754334,180.10876322233167,HAM
7,179.69197748755212,170.86179626431903,PIA
8,269.7154403881481,262.84300344565656,PIA
9,296.83989569765583,292.3879945446236,PIA
10,309.28464050306894,304.0417879733333,PIA
11,309.23881387795416,305.96548928048526,PIA
12,111.58257730110215,120.43917291771719,HAM
13,188.71512940911418,183.46995273147462,PIA
14,271.285761565291,267.61448873076836,PIA
15,298.7632834807017,294.8172733927477,PIA
16,302.96682331936506,303.375781384127,HAM
17,179.9791563197383,190.54368237960182,HAM
18,218.6873936136127,212.68237499041624,PIA
19,268.3802057536508,266.8454441615238,PIA
20,161.6271930196029,156.59111537966976,PIA
21,142.62823678572283,141.63764260001224,PIA
22,219.56865865912778,220.00140154719006,HAM
23,226.18223733028572,241.8518562339921,HAM
24,158.15378877442052,150.76584670042715,PIA
25,222.7250048,222.31428571428572,PIA
