Minisector,HAM,HAD,Fastest
0,257.5231736068376,244.73312409481483,HAM
1,136.80631336410258,132.755980835745,HAM
2,207.2903887409414,202.33532847238095,HAM
3,247.94119068647618,240.67619221865817,HAM
4,255.86461451247166,256.5345120386552,HAD
5,177.63528481370594,184.11394737381983,HAD
6,154.1698674245614,145.6687114766432,HAM
7,187.69368373593863,183.6064629309146,HAM
8,101.6229058313906,104.33487081033712,HAD
9,72.5324227775732,73.86261470713883,HAD
10,101.03269523849238,94.35550708014854,HAM
11,192.9267844426889,172.5912503632253,HAM
12,247.45168314923276,237.21128210971253,HAM
13,269.2372400969697,261.45613553244044,HAM
14,274.3372222222222,270.35150449959184,HAM
15,111.31114015852637,113.28587021854105,HAD
16,158.82737019947027,140.1437220119228,HAM
17,188.9328871351082,181.28840174222222,HAM
18,205.08270233426703,191.163846058271,HAM
19,215.966997552461,214.86405081723686,HAM
20,139.05768329374305,132.44989877469922,HAM
21,118.23441827717238,113.90060834309956,HAM
22,104.08811744315744,100.8360520339473,HAM
23,205.20601444838857,199.19132884825396,HAM
24,251.89036280287934,246.50137780918396,HAM
