Minisector,LEC,LAW,Fastest
0,295.04088312844476,291.19891309230854,LEC
1,307.8793441935802,303.08404898812125,LEC
2,310.0053031653333,304.76095111495295,LEC
3,179.26067366089532,180.72813162639454,LAW
4,208.48930299418373,209.16038150445777,LAW
5,199.87964147138322,205.89464272761904,LAW
6,265.70924595722244,265.00703384643396,LEC
7,238.95296673500843,245.8092214316883,LAW
8,210.2014105678718,211.47440878383017,LAW
9,210.36466311416257,205.16034696880132,LEC
10,134.37480616440575,146.30605464659521,LAW
11,196.24526668580404,197.13121232066118,LAW
12,182.71623081265744,194.36906337219048,LAW
13,255.29464775495074,252.8800437958948,LEC
14,172.76470643152382,175.857389212778,LAW
15,232.683668294552,233.63943312018293,LAW
16,281.8175047083901,279.5874190383437,LEC
17,290.9136937694967,290.88245618847117,LEC
18,277.88605347520297,286.758737609697,LAW
19,260.0936625632608,267.7157318759865,LAW
20,264.34847397101447,260.0894098666667,LEC
21,261.0905640194116,262.21448655053393,LAW
22,227.42852896920178,231.57053671486403,LAW
23,207.8195837758192,204.30636435346597,LEC
24,273.7734404252169,269.1501799644444,LEC
25,,284.7499968,LAW
