Minisector,RUS,ALO,Fastest
0,311.2719200969697,306.1588236392157,RUS
1,201.77648632141526,225.80956031784805,ALO
2,147.3931691040426,142.44440249718812,RUS
3,228.20292337692348,216.74023584993625,RUS
4,164.07233259898763,157.34649996750213,RUS
5,178.39058831957013,179.78169907809522,ALO
6,252.9667665497643,249.4396305777778,RUS
7,280.01530919570064,278.014374894396,RUS
8,287.5920824330829,286.228715720473,RUS
9,262.06877268548755,245.79885100020252,RUS
10,243.43829946532634,240.43854978354977,RUS
11,241.5699721847619,230.32614883283117,RUS
12,202.05796888616646,198.5254253362637,RUS
13,129.72636427181902,126.06831373902203,RUS
14,139.38382797113383,134.76434369342758,RUS
15,177.96299664724407,183.8201616328981,ALO
16,251.1252670141302,255.80828824554814,ALO
17,237.9131778926682,238.55289444963924,ALO
18,114.65131979963786,112.9186993657917,RUS
19,201.62773823743694,199.1310139705222,RUS
20,202.25669980948607,190.89846003983806,RUS
21,240.87157765239766,238.25143424569507,RUS
22,267.6297975792876,272.8625096552541,ALO
23,286.75822154661216,296.96410199,ALO
24,301.5163230593016,314.62772251377777,ALO
25,306.0,,RUS
