Minisector,NOR,VET,Fastest
0,274.75472158776336,272.17829869555555,NOR
1,292.9058367216971,287.98268904748613,NOR
2,292.803332418355,288.54185892525254,NOR
3,169.53534308098514,184.36880956380952,VET
4,116.98481762666768,120.31025982179894,VET
5,233.83825422593856,232.71775520873328,NOR
6,287.95131092487094,274.4338513252131,NOR
7,303.2100790707644,284.90252131623845,NOR
8,168.38659207687687,178.3120759542984,VET
9,135.35426136140646,139.62702991580926,VET
10,245.05446676135824,241.95801825861818,NOR
11,285.3954384484941,282.2165803805629,NOR
12,291.34082536098356,296.78434448029685,VET
13,266.56930057200776,270.15514946934604,VET
14,288.3774294634243,286.927787454386,NOR
15,290.9639130323428,291.1225205058604,VET
16,236.19751109348337,237.50251092622224,VET
17,218.60065166766438,212.9591847376838,NOR
18,279.8767297423378,266.66096195624345,NOR
19,313.1144119216204,289.1198015941228,NOR
20,317.8472166213244,298.02642319653677,NOR
21,226.61879999577923,222.79512201080493,NOR
22,257.3827177491597,253.06902025567237,NOR
23,128.3372801363537,136.26281257873268,VET
24,216.42509125728722,201.75557879875308,NOR
25,,253.177084,VET
