Minisector,VER,SAI,Fastest
0,299.38985811855906,312.5353164600823,SAI
1,232.77819925210332,235.0895706247737,SAI
2,145.85752875365364,132.02538136495357,VER
3,226.2993035199823,221.84879960401395,VER
4,265.68559146564326,267.38726957615023,SAI
5,288.57849752688765,293.27781015583105,SAI
6,301.5858634694735,307.0877777777778,SAI
7,278.16715946666665,269.8876634004621,VER
8,181.9361517602096,169.27621780108925,VER
9,246.39267639258853,244.64838976911992,VER
10,276.93487023058356,272.4212886091105,VER
11,271.0436795620214,252.7249474639533,VER
12,218.0600040879023,204.2458253386633,VER
13,135.78010992535638,120.95899485047192,VER
14,134.33396906077922,125.44125246128324,VER
15,166.91426992304028,153.15990112716995,VER
16,130.69690645369062,133.528584067975,SAI
17,235.17026572923973,230.6424906282135,VER
18,190.6671044448127,170.2129991899522,VER
19,172.5939828354786,173.3389579829403,SAI
20,251.73602494187284,254.70400872379645,SAI
21,280.68998715226274,281.3223102082705,SAI
22,293.7989578666667,295.90333333333336,SAI
23,302.25019820130694,303.52112494765265,SAI
24,304.76999992888886,307.61755961904765,SAI
25,306.0,,VER
