Minisector,RIC,ALO,Fastest
0,301.6426268801308,299.52328707261836,RIC
1,244.2380528,238.0265144577573,RIC
2,195.37325504660197,196.53617646867673,ALO
3,267.3120159266314,264.4246260825397,RIC
4,222.9192331863351,225.48455029978953,ALO
5,108.15227565542051,109.87517050219164,ALO
6,168.19257870613492,171.84040807503385,ALO
7,254.51629823054188,253.19856434022986,RIC
8,284.9214976863304,281.2247204504203,RIC
9,297.42353685079365,297.094000128,RIC
10,299.82814438489856,300.5335144811594,ALO
11,225.30455756840917,231.89086275019474,ALO
12,141.94823639311522,147.32625817388558,ALO
13,254.92040386206895,254.44176681858838,RIC
14,287.7714480932571,286.22379246146005,RIC
15,293.80468733333333,296.3211805777778,ALO
16,281.13974326153846,291.50513756628044,ALO
17,243.53583094857143,251.00735875555557,ALO
18,169.2362374992045,175.0348306133153,ALO
19,181.9527734787225,177.99991111042388,RIC
20,169.40965681951218,174.2607017714286,ALO
21,240.9476455040157,240.87654583192042,RIC
22,119.07208089730203,119.06155459626835,RIC
23,194.87766740413596,197.9489197619697,ALO
24,280.3433468952381,279.2668998696274,RIC
25,,295.85833386666667,ALO
