Minisector,ALB,STR,Fastest
0,292.21054207823937,307.4835648592593,STR
1,288.62260857260895,301.0974217931537,STR
2,168.95912632611834,153.07500013714287,ALB
3,230.32369308583918,233.48786302608696,STR
4,274.77741268370926,290.2261904761905,STR
5,292.07190049356285,316.6211485938375,STR
6,297.6994362940032,327.1320312666667,STR
7,156.88147205662418,148.42579880902255,ALB
8,142.44262237176224,138.41686025204817,ALB
9,253.00367557308834,256.66937514666665,STR
10,282.16282675212364,295.08515243174605,STR
11,286.0007042365915,303.04511154297717,STR
12,147.83856605738765,138.1816731220899,ALB
13,206.44631515897436,208.2445982284624,STR
14,262.2201303704534,266.0324563649123,STR
15,209.4086229146739,202.12725859767053,ALB
16,229.52229609606627,224.889833472,ALB
17,221.7806659272749,215.48202793278622,ALB
18,252.18724009333332,250.1030303030303,ALB
19,277.11352590820627,279.7997688296296,STR
20,290.6389446343567,293.9017544421053,STR
21,267.4354158933333,259.8674602666667,ALB
22,230.01737242344223,216.44683306666667,ALB
23,217.28752638192182,211.76047638771067,ALB
24,269.84529814260316,275.11145882666665,STR
