Minisector,LEC,ALB,Fastest
0,279.5145243755026,284.6619971047619,ALB
1,296.16210573468095,303.1748266222222,ALB
2,294.3353748458639,297.92567135710294,ALB
3,176.12253862179443,168.35976885005746,LEC
4,125.2479519723836,129.3668791696339,ALB
5,243.1301568893879,244.5395462599863,ALB
6,283.3085489420254,283.3052033012194,LEC
7,292.75350761997265,287.94228517790475,LEC
8,180.7603295981117,186.4296779771359,ALB
9,148.31398930360135,152.141792540417,ALB
10,257.7355024071562,261.3014946742837,ALB
11,291.5359474753928,295.1100943553574,ALB
12,298.3617840626742,306.0221917118671,ALB
13,278.2234602158759,289.2037110211347,ALB
14,296.52566917759503,300.14517726246703,ALB
15,301.63230717490575,297.90216675298797,LEC
16,247.9906732495238,257.7304278368312,ALB
17,222.7623809456892,236.4315011840637,ALB
18,276.94120414814813,281.6653168221464,ALB
19,298.5275718789763,298.8043667986698,ALB
20,302.7988329386667,293.74183338666666,LEC
21,231.05344035255163,235.99401915681304,ALB
22,262.88524697142856,262.43332861202464,LEC
23,142.31006301653457,137.9557920756332,LEC
24,225.07385734517297,229.99515982888448,ALB
