Minisector,VET,SAI,Fastest
0,288.37254901960785,287.6426458352941,VET
1,128.12684871400293,126.47827362265106,VET
2,165.5477954144621,149.6344940723196,VET
3,220.77380816114055,223.99206273015872,SAI
4,163.70617283950617,157.11384160467574,VET
5,244.64902077848964,243.9224542222222,VET
6,212.45486542443064,211.10760575072464,VET
7,140.79484580939737,133.3726176975238,VET
8,237.0340476190476,234.50905106085764,VET
9,277.1181037969187,278.59173714285714,SAI
10,284.52964851586836,286.63999188571427,SAI
11,149.67367038573144,144.19147512539539,VET
12,222.4889891098671,219.4272465177489,VET
13,271.27058823529416,272.27919449996836,SAI
14,269.2444472888889,288.1028646666667,SAI
15,104.56925510879745,111.54189274702797,SAI
16,226.96031613968253,196.41878977722567,VET
17,276.33723986666666,266.27230469019605,VET
18,297.7825519333333,292.0265628,VET
19,308.53538909847583,305.6971429892064,VET
20,312.45818792973546,313.0845239238095,SAI
21,291.8118486473895,306.51901888608717,SAI
22,156.89118974668855,156.78749955555557,VET
23,238.6202955828024,218.06278318278234,VET
24,280.54004557037035,273.52800285490196,VET
25,,289.6250005333333,SAI
