Minisector,SAI,ALO,Fastest
0,260.1430043954122,260.25618430139366,ALO
1,135.47697307709294,133.15966660533485,SAI
2,270.79884798657594,268.39036502521793,SAI
3,308.8304657519367,309.0373477537278,ALO
4,309.40908586666666,308.52726204830475,SAI
5,317.81708572952215,314.88872689185183,SAI
6,322.04634195670997,317.18676666880003,SAI
7,324.71407531467054,317.8313595753992,SAI
8,196.87861640019366,197.32356327245688,ALO
9,205.33775070632225,205.5576975029077,ALO
10,186.21307501990228,177.53069941804966,SAI
11,180.07889075137675,167.8732588239444,SAI
12,256.5182839658456,253.81300359339824,SAI
13,285.267334814602,273.82498529429574,SAI
14,287.5152698746921,282.2945184994855,SAI
15,271.82947614150675,255.8555105309871,SAI
16,172.69564999284268,168.07185619312145,SAI
17,194.04297676577778,195.22526875673006,ALO
18,251.93328879246897,247.06857205369863,SAI
19,292.06587280471905,289.05218085011666,SAI
20,308.76042031002805,307.3509444578682,SAI
21,315.0730984552317,312.4302392963975,SAI
22,313.80279441015267,309.5337773564835,SAI
23,265.5036429171446,244.88596630820706,SAI
24,113.14544927104522,120.68075749391471,ALO
