Minisector,GAS,PER,Fastest
0,308.1671951601793,310.036088095577,PER
1,236.53392401507259,224.3753319290508,GAS
2,138.36779629854186,136.59143792087073,GAS
3,221.29338647606815,220.08861939538127,GAS
4,264.9211996349793,263.8904336620457,GAS
5,290.8878866601117,289.39579839278605,GAS
6,305.6902815445364,304.9785932388598,GAS
7,283.9615150573575,267.96392730671516,GAS
8,176.27634788857736,172.20407566527717,GAS
9,242.93462156182073,242.86073678807534,GAS
10,277.2153158972096,273.8802471590505,GAS
11,259.32084427434984,259.0293553125792,GAS
12,204.39516181285617,204.94960732997265,PER
13,131.4243110420325,125.41753575173796,GAS
14,123.43054292000646,126.37600982487542,PER
15,165.51241968012494,164.24418902351937,GAS
16,124.79093521056956,128.3023109108276,PER
17,226.57553187766413,229.84144392255607,PER
18,188.50863617511152,177.71055764590443,GAS
19,164.78591122085456,168.28400383072238,PER
20,249.7618524881719,248.29277799927877,GAS
21,279.4822929093231,275.9436930876389,GAS
22,294.01124107659996,292.1398803202233,GAS
23,302.12777799111115,304.86259418976556,PER
24,305.55503363438004,309.8848253717196,PER
25,,312.0,PER
