Minisector,VER,RUS,Fastest
0,246.1274349536471,244.40849207505065,VER
1,283.1582261100144,284.4680790341818,RUS
2,182.5926925458093,179.0023214783846,VER
3,154.49304275008066,161.18936190940187,RUS
4,258.84620313870374,255.75349592700246,VER
5,265.087040115942,264.86487322201606,VER
6,230.34828684028642,234.8431455290153,RUS
7,210.08045096688363,210.70040095820497,RUS
8,161.90825404606062,160.8027598646193,VER
9,212.54781054238626,213.0713025856277,RUS
10,268.9151384066667,269.85533969850337,RUS
11,125.34384569976264,129.42624791895366,RUS
12,215.19561850040247,209.67365563913216,VER
13,274.83219995196333,273.41527931759833,VER
14,296.7111491492668,296.759630903385,RUS
15,307.2406397908433,307.02705606212913,VER
16,245.0366996687482,246.48220276954967,RUS
17,133.27931915655472,129.1171516292352,VER
18,132.48685953860726,129.6994857184344,VER
19,122.17765253862062,116.70121491500798,VER
20,225.8146022870963,223.130225463703,VER
21,261.01240610628724,259.82733592613545,VER
22,242.8589721249133,236.47581738569312,VER
23,227.6909186507562,214.73126103677654,VER
24,140.63886228485993,138.76832158080342,VER
25,216.47169747525732,,VER
