Minisector,NOR,SAI,Fastest
0,297.4625464368886,298.03828059300486,SAI
1,316.8531128747795,315.3808213883752,NOR
2,325.4703776333333,324.4048950601399,NOR
3,311.62314285714285,317.0890256853666,SAI
4,170.22461084643479,159.87688734078267,NOR
5,206.43161630036633,201.15072009661998,NOR
6,232.3672875202552,230.84494898651428,NOR
7,266.4770733662888,266.3127053939763,NOR
8,247.58835978835975,241.58159586399998,NOR
9,162.75756687426062,154.10897472632823,NOR
10,222.13330898992407,221.75904358586385,NOR
11,126.81562304393911,127.55494418497707,SAI
12,228.7815855477809,220.88526404963923,NOR
13,177.4415008332787,183.08589570552587,SAI
14,216.41140668666665,208.91477198416973,NOR
15,241.20802182121523,233.04297816538352,NOR
16,264.0077161323457,257.02663858978354,NOR
17,283.6773851229893,285.9005543051482,SAI
18,155.46768970124083,166.7756486982434,SAI
19,160.24322817792626,156.20880969546738,NOR
20,142.61392596996134,137.15527817495797,NOR
21,229.91800615238094,222.86122997101447,NOR
22,262.6533062817391,258.7553240600673,NOR
23,252.9437415288787,242.12615945977325,NOR
24,274.6359188644156,269.6013237511441,NOR
25,283.6477277090909,283.2861105777778,NOR
