Minisector,LEC,MAG,Fastest
0,301.5524320950458,314.5837963407407,MAG
1,210.02574200060064,201.51222668031383,LEC
2,231.38814742439962,226.03264640266832,LEC
3,279.68816125709793,282.5409007554411,MAG
4,248.00143230454108,254.00040584415584,MAG
5,126.79428924150963,123.96935417714572,LEC
6,215.40027506349708,211.09075755840047,LEC
7,267.35519685514737,265.24,LEC
8,248.85899469793586,246.7582968290909,LEC
9,240.25089051165568,237.15629831127094,LEC
10,279.3100173078852,279.47208507024914,MAG
11,296.0192848048073,301.3362239419501,MAG
12,311.9265208967145,319.22008145363407,MAG
13,323.2314943068501,329.6339764477075,MAG
14,326.26055559111114,335.22717975906875,MAG
15,270.9150268659377,259.798123500473,LEC
16,247.5877940231511,238.53649079115948,LEC
17,287.864908051948,283.97879818594106,LEC
18,310.3886002734362,302.42907299262515,LEC
19,156.52853044018687,157.0013869715216,MAG
20,214.28322233843244,206.56659849826093,LEC
21,192.1186176618082,174.11009575022868,LEC
22,141.83327389342406,135.66965036534216,LEC
23,239.5022457385908,241.91324790949406,MAG
24,283.80764177577583,284.3240490923738,MAG
25,296.71666773333334,,LEC
