Minisector,LEC,PIA,Fastest
0,316.404809053705,314.2054420209606,LEC
1,313.02758877428573,309.64751586871796,LEC
2,165.46970612656085,158.78583606330395,LEC
3,163.08605785219314,159.7258047218449,LEC
4,203.9678594181818,203.6902899178939,LEC
5,149.22210769711316,157.70311338666457,PIA
6,203.02739102476193,207.7686941060565,PIA
7,272.84628375896085,272.96044768778876,PIA
8,290.7403014135873,291.279183984644,PIA
9,282.21490643361346,282.87042234040405,PIA
10,243.67010821500935,244.9669755523365,PIA
11,245.38120321176274,248.02639557099488,PIA
12,221.33792096478288,220.41705856838092,LEC
13,180.19822895042734,182.35232095341993,PIA
14,135.173937850492,133.96218677362336,LEC
15,130.83819426290518,134.77467405987724,PIA
16,205.72252393962327,198.34731058035476,LEC
17,266.99302888685713,271.4032569402645,PIA
18,207.8117674838514,219.03303109876387,PIA
19,113.09710062667362,112.34782908624443,LEC
20,205.7016147525926,205.30591283462377,LEC
21,188.83454461168947,187.91669047634016,LEC
22,250.411058469376,241.9606006212196,LEC
23,280.56030132148146,280.5715859805519,PIA
24,306.3719516009015,305.762302687492,LEC
25,316.75780288701543,316.0,LEC
