Minisector,PER,HUL,Fastest
0,262.70434319548997,274.6032697058655,HUL
1,293.1993788150591,298.1656743415873,HUL
2,309.98395783829596,309.72153857833274,PER
3,321.55972246349205,316.6711906336508,PER
4,328.6579298240325,321.4767856761905,PER
5,332.4982144,324.8015413322131,PER
6,285.441403,195.1411477111111,PER
7,111.84837658740588,107.91991475862629,PER
8,146.81252184395342,192.18597921020034,HUL
9,249.4888904888889,264.06731052282373,HUL
10,286.27591205,291.2815104,HUL
11,242.53166933024963,161.12418113713917,PER
12,91.95371276103796,99.82563152911733,HUL
13,110.65617607667214,117.15492822252435,HUL
14,214.08646738912543,219.94962025281384,HUL
15,185.39772434330544,185.54741879906396,HUL
16,219.66374954666668,223.95595276190474,HUL
17,190.80363087573224,173.66693973257347,PER
18,219.87498395961694,239.96057893998352,HUL
19,272.84090785688346,281.90931394509806,HUL
20,290.30501697451865,251.13428297960206,PER
21,154.4662501688889,147.20387847373271,PER
22,101.33954625582388,98.54569309340401,PER
23,121.72132346311109,128.216173657604,HUL
24,200.4905779146998,224.47448314013604,HUL
25,242.56250133333333,257.05000106666665,HUL
