Minisector,RIC,PER,Fastest
0,259.6007450732198,257.2991298703107,RIC
1,134.24075709410226,133.57427434358985,RIC
2,266.68817613063936,261.749608,RIC
3,308.55227448163265,305.6703506180326,RIC
4,307.11320810506777,303.94502554013604,RIC
5,314.7969135407407,313.0512173757984,RIC
6,320.3854356290268,318.0166885643739,RIC
7,319.0748845233057,312.55540132345675,RIC
8,199.33611779346631,199.7410066181818,PER
9,200.24596849475682,192.8974106959515,RIC
10,182.84994605622103,186.3086273377541,PER
11,167.99915695125796,167.7917297088435,RIC
12,254.0691193950655,254.07225695122654,PER
13,274.19363372235085,282.148286394889,PER
14,277.1569958000481,280.4121631012151,PER
15,272.3061206187657,271.7683191791091,RIC
16,189.93786569476592,182.67971571595388,RIC
17,196.53783074231535,192.3162318251362,RIC
18,246.23616130372966,236.17163170394556,RIC
19,290.8038192266667,284.10885561838813,RIC
20,313.4222731241308,306.2944937142857,RIC
21,320.3441358222222,315.8116306680152,RIC
22,317.99352746080876,315.30428572038096,RIC
23,264.6329544219336,249.89159976255075,RIC
24,116.19031692346978,116.13917651387068,RIC
