Minisector,LIN,BOR,Fastest
0,298.4295430523996,299.5094079049624,BOR
1,206.3799578845019,200.70969383167062,LIN
2,222.46491459809525,219.59347437013332,LIN
3,272.2452286695554,267.66249743707766,LIN
4,234.99841845424763,245.2417250816,BOR
5,120.99029538521467,125.04066586455524,BOR
6,200.81289308685047,197.20911881877137,LIN
7,244.87127803345456,242.7411968910053,LIN
8,228.93742854700082,234.40985024298047,BOR
9,229.49476312926512,236.22361635361423,BOR
10,281.14753187479425,284.483340966621,BOR
11,307.3425765663167,308.59544438526797,BOR
12,323.1323673204417,318.70550472814193,LIN
13,324.19854486942245,314.11905098542115,LIN
14,316.22475203196535,303.3533613915966,LIN
15,236.44205869557678,258.84672859691295,BOR
16,226.82605249792903,237.91224782203136,BOR
17,278.41882354652495,276.91183679307363,LIN
18,290.00776198155705,286.3435832208694,LIN
19,152.33940835391698,151.05586079525483,LIN
20,190.2194483348148,191.96479250308235,BOR
21,168.35351089178874,178.68225820820828,BOR
22,128.02010001951555,132.47075027474094,BOR
23,236.12400085766987,230.62873859666627,LIN
24,289.22520552700155,285.38925988975234,LIN
25,283.7750464,295.67916586666666,BOR
