Minisector,ALB,OCO,Fastest
0,273.12537095939217,270.7267830207035,ALB
1,299.3912779448889,304.29943250735926,OCO
2,311.7335523646825,322.1000784271429,OCO
3,319.3948426505322,334.8036582452572,OCO
4,324.664907935488,344.8708332952381,OCO
5,327.92074074074077,345.7054761447619,OCO
6,204.847274939327,226.01437467062695,OCO
7,104.38854427878735,99.04290189482236,ALB
8,180.5722125090313,175.48751853265816,ALB
9,260.6313175648133,253.03356523047617,ALB
10,290.3679394899911,290.8758266115014,OCO
11,150.73577777247718,164.77851323591835,OCO
12,95.77411176168496,92.86438678943881,ALB
13,110.05452225179818,110.52348518441939,OCO
14,211.302559386248,211.2453373037037,ALB
15,181.4524327331626,181.42017335410335,ALB
16,217.98658691192745,226.59454164266668,OCO
17,165.93226362472012,167.75804472903442,OCO
18,241.85555299186146,227.34866729436928,ALB
19,276.6221212886762,272.21329213156173,ALB
20,247.53358714608183,250.9488447511111,OCO
21,144.8538206716985,146.1628972641581,OCO
22,91.79970768530048,93.78180719120435,OCO
23,122.11232531622954,116.56353016,ALB
24,222.59224547238733,211.59553705079367,ALB
25,,250.171876,OCO
