Minisector,LEC,LAW,Fastest
0,309.1506588966396,308.3658337653231,LEC
1,198.61513151454395,179.28800872615386,LEC
2,112.04806190354908,107.15143637167611,LEC
3,193.16068855070478,200.83366485768994,LAW
4,250.788596926391,256.30085207325584,LAW
5,282.6145709950327,283.3102023332213,LAW
6,299.60979181666664,298.824034058836,LEC
7,231.8309401790375,238.7829433821888,LAW
8,145.68223113382314,143.5469927438961,LEC
9,231.91403893890384,230.68345139352382,LEC
10,269.7983377434131,267.1751921441976,LEC
11,223.17047504747782,220.038111071809,LEC
12,174.566462378829,175.2653858057143,LAW
13,101.83532964119755,104.56529196623974,LAW
14,107.93951120434487,104.47439988206568,LEC
15,136.88970386278717,137.61704684656084,LAW
16,116.65137393944067,112.08094617395294,LEC
17,207.86737154619354,204.33729411947843,LEC
18,146.05982184207792,148.28812161324262,LAW
19,151.07987455404486,151.28356486143392,LAW
20,242.2430242979894,241.812803868904,LEC
21,274.0904897142857,273.42253762426185,LEC
22,292.5159168106667,291.62538143666666,LEC
23,302.15851010456566,300.4486029343791,LEC
24,307.2222427764706,304.3460399152941,LEC
25,,306.0,LAW
