Minisector,VER,PER,Fastest
0,286.934960551632,304.4073270843296,PER
1,298.127696,324.2342794855666,PER
2,303.60737957819845,334.3386044033229,PER
3,303.85006246760224,332.82603174603173,PER
4,190.9076958534947,170.6745408218761,VER
5,206.6829539277306,200.41471329683753,VER
6,244.50143226006267,233.0379644197095,VER
7,264.8147277367158,262.72304699753033,VER
8,273.50122014749047,267.76005683885785,VER
9,168.97134939862426,161.46133335239952,VER
10,224.75841922810233,227.66843357045323,PER
11,147.56528558678534,136.7711885731218,VER
12,210.7790760216918,214.97883823640993,PER
13,218.56970543188393,194.76912158887185,VER
14,202.32519365361392,207.67188500871424,PER
15,247.9193564256595,238.6595570293689,VER
16,257.73328108847386,250.90264344877016,VER
17,280.49789898039216,282.5961158131658,PER
18,185.7951882083341,142.13088392015555,VER
19,140.2715290837434,163.31898158622346,PER
20,146.05971193605197,143.2756920986209,VER
21,181.9116015494312,157.37092164849977,VER
22,122.42171489385719,119.45427908597986,VER
23,209.27774983669246,224.86744943889133,PER
24,263.82300023683007,269.1458066567117,PER
