Minisector,NOR,OCO,Fastest
0,281.1853184946366,271.0925075177853,NOR
1,122.25863097443283,108.92102209072448,NOR
2,172.84444579232422,158.5015679567075,NOR
3,206.76204734144926,201.6378395654321,NOR
4,162.542821637506,154.05261206284104,NOR
5,239.32266110040814,236.96938980969017,NOR
6,200.32575557705295,169.74154826666668,NOR
7,138.8985575179832,131.99769642200926,NOR
8,238.1022966874435,235.18349381079366,NOR
9,276.1635040857143,281.5616530831704,OCO
10,277.5698978322843,278.90089189714286,OCO
11,151.9477590280418,144.05533439286185,NOR
12,220.64523484196928,222.78244123796622,OCO
13,271.1682503317669,272.43964606577777,OCO
14,257.5627604667669,258.3538627308237,OCO
15,99.75430435037987,99.47470586165389,NOR
16,221.50573271615752,221.5955096178084,OCO
17,269.44711547936697,270.8816664252631,OCO
18,289.59817931114844,300.7284319384319,OCO
19,297.78987474460627,315.29967859820175,OCO
20,303.06127447843136,324.4319958987928,OCO
21,279.4106404901587,258.7713092142849,NOR
22,156.8831898329149,146.620717639202,NOR
23,233.16974604985506,233.44317942180035,OCO
24,275.3570774190714,280.54128906666665,OCO
