Minisector,RIC,SAI,Fastest
0,303.2053769208089,306.43301321025643,SAI
1,230.4373777882353,237.49349799206368,SAI
2,131.38634314799745,130.56982603370218,RIC
3,235.56065725001514,240.24092087142856,SAI
4,189.56541629333333,185.29403538484124,RIC
5,237.98116285860056,247.58750021505378,SAI
6,221.95674388377088,227.83455601563065,SAI
7,254.11570751440178,255.152058182115,SAI
8,283.8197188544788,291.2009669432734,SAI
9,203.93980289122806,206.31963239446324,SAI
10,199.96023838064372,205.04808778378379,SAI
11,270.59464274285716,274.30845750530614,SAI
12,206.44396840370763,212.9939797037037,SAI
13,249.62986298952154,244.16031394666666,RIC
14,293.05215183579327,290.0168879181658,RIC
15,306.37849996799997,312.68911015898726,SAI
16,303.5002627413109,320.57829826666665,SAI
17,227.19351733456583,222.42027877417786,RIC
18,270.6109218525731,263.24152404597703,RIC
19,299.66639185934065,296.7947535407407,RIC
20,303.24483327999997,318.23802124444444,SAI
21,297.0760802765432,324.7349738195583,SAI
22,150.17056122102207,152.2056376824978,SAI
23,235.94540267153428,230.10107786493882,RIC
24,290.23355367997465,297.54188202666666,SAI
25,,313.5249994666667,SAI
