Minisector,HAD,BEA,Fastest
0,303.2036691014346,303.4945262192714,BEA
1,198.70778515216966,201.88619088350126,BEA
2,147.19650839313366,146.433942594557,HAD
3,220.83779251313712,220.55092688675052,HAD
4,168.65743184003543,160.4486559077692,HAD
5,177.49527648877515,185.00324294735455,BEA
6,257.62146294528253,254.93907409537334,HAD
7,281.4229391845926,280.1623567247059,HAD
8,289.5377342374695,287.01188722196076,HAD
9,263.31567091450984,265.278582506567,BEA
10,244.12427122238773,253.2075064051948,BEA
11,246.86866480772915,245.87507147608463,HAD
12,208.9165708984212,209.56118555977898,BEA
13,133.22716276631928,131.4726612391639,HAD
14,138.9099973297044,136.16527688793678,HAD
15,181.85727857820106,177.178231721656,HAD
16,249.94386547032195,251.3409021686067,BEA
17,234.91602069892065,245.08835152366086,BEA
18,114.69871238414156,111.09696560248017,HAD
19,196.77134170817243,194.05506694792317,HAD
20,202.56332859066345,202.81092538181818,BEA
21,237.76227376931217,233.77283192036418,HAD
22,265.560864579612,268.75200970457513,BEA
23,286.59770696677816,287.9188192782222,BEA
24,297.9974217777778,300.4154481599655,BEA
25,,304.0,BEA
