Minisector,BOT,RIC,Fastest
0,291.04073335271374,276.6589381608533,BOT
1,312.6776295564946,290.4575120954114,BOT
2,246.92995612201287,228.24690268441404,BOT
3,120.9492373519037,114.86177465198404,BOT
4,141.97643268275573,140.82828379322356,BOT
5,253.28333040638162,248.9738320537093,BOT
6,247.991488049474,239.65510273886812,BOT
7,131.8316258557781,126.83045379052803,BOT
8,250.5979668408264,244.94775903079054,BOT
9,265.0909189877556,244.57684077681353,BOT
10,210.845919340293,204.61732242206625,BOT
11,148.5680477163646,141.08946748315137,BOT
12,223.0503266839953,210.48656528384066,BOT
13,257.46620922272496,252.96949257142856,BOT
14,117.78948675847033,114.68120672186141,BOT
15,208.34033594507272,192.9223741401184,BOT
16,264.12450176598264,254.94730581927053,BOT
17,292.5170491418456,284.15461877976924,BOT
18,307.70004137062034,294.8235412501165,BOT
19,321.7264809161082,297.4615959103186,BOT
20,330.54048910173356,296.9110415466667,BOT
21,157.51327854849427,143.14223803121823,BOT
22,153.6829997155364,162.50833088583045,RIC
23,183.75862599247807,192.2281695869749,RIC
24,238.52608830591683,237.09970475676832,BOT
25,275.5208373333333,,BOT
