Minisector,HAM,LAT,Fastest
0,270.8182254730159,268.9483325333333,HAM
1,292.7723584059321,289.8476504880708,HAM
2,301.8255024453637,295.80637032535907,HAM
3,134.6069783126121,123.06062902156836,HAM
4,197.41291843280325,189.04269965315999,HAM
5,255.58313508571428,248.34461710366816,HAM
6,148.48861282529282,141.78918836993708,HAM
7,210.33792775923808,195.02228636730524,HAM
8,260.36854956658766,256.4082788414836,HAM
9,279.21204590018556,273.2782927775868,HAM
10,239.50102949869074,228.11699985066664,HAM
11,191.4472761391232,171.59666128680075,HAM
12,190.02778433265973,184.42286543448276,HAM
13,152.17819967219327,144.32979110818215,HAM
14,183.88207820125902,170.8500776232011,HAM
15,169.20914475924343,157.26736187102415,HAM
16,217.91182566893292,214.24220200438663,HAM
17,236.1103123382246,222.74144743407732,HAM
18,240.14561855303782,231.3437459069564,HAM
19,252.3624993015873,239.32618116810286,HAM
20,147.79175449851698,140.33884503512098,HAM
21,141.41706228268018,134.1952679730546,HAM
22,172.88393441254547,165.9269562313719,HAM
23,157.4768307434736,147.51576856576304,HAM
24,230.0600529183158,222.80143107340052,HAM
25,,255.35000000000002,LAT
