Minisector,PIA,ZHO,Fastest
0,291.0554977658095,289.18463943962576,PIA
1,301.9233823018488,299.0530176548572,PIA
2,303.2390176005409,297.416398070704,PIA
3,193.48065947193334,192.02340708320762,PIA
4,210.3424484868214,207.4736996923392,PIA
5,202.89470825031694,205.89068315033413,ZHO
6,262.56657869172903,263.9796486748331,ZHO
7,255.28955131097308,252.89219454984126,PIA
8,213.4695762100618,212.61596614583934,PIA
9,210.75627022058373,214.9481277161905,ZHO
10,140.75313830086628,141.09500795624794,ZHO
11,200.89679340495348,200.27384484680957,PIA
12,188.4290447884283,189.10114508219343,ZHO
13,252.05906370811508,250.39370791130162,PIA
14,185.49942644063492,182.5924860459137,PIA
15,231.4871043339269,234.9964120667821,ZHO
16,279.7119981329705,279.84975330848863,ZHO
17,290.767638281946,285.7887773461728,PIA
18,285.63933506408716,275.90178015301586,PIA
19,273.4462897287247,257.2815640568254,PIA
20,265.82625424159164,258.1950710768405,PIA
21,264.88941810427934,256.3266715239909,PIA
22,231.14001794288512,236.4036188213714,ZHO
23,207.63863368932104,209.53431306911227,ZHO
24,266.9888140300164,267.44955519457056,ZHO
25,281.0,283.0612496,ZHO
