Minisector,PIA,OCO,Fastest
0,276.0259317754386,271.9698804194486,PIA
1,301.20754797603564,299.33331955635157,PIA
2,314.57280998643273,312.23575794832954,PIA
3,321.1252232,318.6516607552448,PIA
4,322.95416666666665,321.5081844952381,PIA
5,325.5904761904762,323.5110116525821,PIA
6,219.35955008689342,199.48362736441103,PIA
7,107.26177128760173,103.83168437478547,PIA
8,177.4568503128836,189.5281592351117,OCO
9,258.29082369866944,264.85437364248526,OCO
10,289.68583118714287,292.2366610004329,OCO
11,159.37324258935766,156.33256998511686,PIA
12,93.0503799116308,93.6615931709774,OCO
13,117.14367254922202,112.258636314219,PIA
14,222.9895014447802,213.55485172521583,PIA
15,193.25244175283268,187.86839814232803,PIA
16,223.90865729513825,225.88632131492767,OCO
17,182.35493983288887,179.64164007280422,PIA
18,241.43647824874677,241.36577618901566,PIA
19,279.6944912366578,280.70287586192006,OCO
20,261.61710557262035,249.75080591073765,PIA
21,148.77158894895717,145.20565320630723,PIA
22,97.68824391903081,95.7005360736277,PIA
23,123.93836229938967,121.82133065509535,PIA
24,228.4445801760584,223.13534175166401,PIA
25,,254.75999744,OCO
