Minisector,NOR,ANT,Fastest
0,296.0713980080145,297.18727655606455,ANT
1,308.02173225169594,310.01188326015034,ANT
2,307.0063722745092,314.6631424363991,ANT
3,192.78188646875842,181.73795362380045,NOR
4,209.4452247165088,203.53305738340137,NOR
5,205.6538997483833,205.74484720027283,ANT
6,267.20343376950956,268.95614331223675,ANT
7,253.3282616139231,252.06927609600604,NOR
8,217.62219607566624,218.57325898922886,ANT
9,205.4905370864649,205.6386680723564,ANT
10,143.0020658374785,135.1519700894042,NOR
11,201.31039235261,195.13266534256059,NOR
12,186.69949370666788,187.89350224380954,ANT
13,252.92421129701393,254.9234061747152,ANT
14,178.86926472415678,169.8769757708319,NOR
15,236.13111084990112,233.75526128599367,NOR
16,280.63725092566426,281.9474981869944,ANT
17,293.9648884742857,292.135468752,NOR
18,289.2693897363408,281.1211909790476,NOR
19,272.91590179646494,264.61568889097765,NOR
20,269.87058571914764,262.17883794342384,NOR
21,264.81167873061753,264.97942867555776,ANT
22,227.96962525950184,216.24466827789988,NOR
23,207.2581111817492,215.35450080444727,ANT
24,271.7165577156856,276.23749566495206,ANT
