Minisector,PER,MAG,Fastest
0,270.1366549471861,268.5630695836867,PER
1,257.60300612714866,248.8573625509957,PER
2,119.29852187006854,119.4360265614255,MAG
3,154.6030102248112,170.4565044696296,MAG
4,195.78282234542465,192.88380976838096,PER
5,182.87162966892174,190.9516431068033,MAG
6,262.8456496779842,264.8462335498039,MAG
7,284.1604933320151,284.8941527717813,MAG
8,238.69456199047622,236.1673698296159,PER
9,141.02775329179724,143.9831774203003,MAG
10,111.14756171746774,110.3425852440854,PER
11,152.3197066680859,147.2063970092638,PER
12,241.77304378049888,240.23705778743377,PER
13,151.0022438289724,158.58430948761026,MAG
14,149.27636218817756,139.79376743597882,PER
15,107.33843728074872,109.83086179805547,MAG
16,218.38054745328188,208.05275965769704,PER
17,241.83431994468884,242.6866703078788,MAG
18,128.9936659246507,122.70845870116288,PER
19,241.3851185926259,234.03367589114376,PER
20,274.45515557829174,272.2188481457588,PER
21,215.56419964150504,219.5174393663104,MAG
22,144.91734328892989,134.5808419976945,PER
23,224.29192667275737,213.0472406339376,PER
24,223.987602867085,213.96524235555557,PER
25,,252.81000128,MAG
