Minisector,NOR,PER,Fastest
0,258.8895855014548,257.2991298703107,NOR
1,129.01754626147994,133.57427434358985,PER
2,268.6667824289745,261.749608,NOR
3,309.50696639999995,305.47249314462647,NOR
4,306.063813575041,304.0526149115646,NOR
5,314.69258074013607,312.8641352507688,NOR
6,319.90506720817564,318.0338139487179,NOR
7,315.10568796895944,312.8728616409171,NOR
8,198.1926121813829,204.81831697364342,PER
9,197.3307232970403,189.82006071011554,NOR
10,177.04978983620546,190.53294597954547,PER
11,162.70387898070314,164.46892756378855,PER
12,250.69699683743858,248.98160043405485,NOR
13,280.5729958348244,283.33618963789974,PER
14,286.7447241754205,279.256013635468,NOR
15,277.1191830780654,276.84181359975423,NOR
16,181.81652368592768,182.31339656039833,PER
17,192.30225583783948,193.36822043119682,PER
18,242.19199311709085,232.08484587537416,NOR
19,290.50986763469984,281.9502533646247,NOR
20,311.66342581728395,305.1607139809524,NOR
21,320.386904821164,315.43350563944375,NOR
22,315.07113093333334,315.38428572038094,PER
23,255.59729318435873,277.6456270162029,PER
24,111.50897066350532,112.4232305326777,PER
25,232.020832,224.0,NOR
