Minisector,SAI,RUS,Fastest
0,291.392916003013,287.78633007414646,SAI
1,299.0873096247042,297.88356554308126,SAI
2,278.5690363120181,270.64293791492065,SAI
3,105.3680632800944,108.9730352518624,RUS
4,221.16313132986124,217.1561518880465,SAI
5,271.419590461244,268.9921963960193,SAI
6,203.14144887194342,208.81361867066633,RUS
7,162.69272714047793,159.25679642763427,SAI
8,210.0443902373757,216.98895831752776,RUS
9,223.85535425008484,218.56127236456047,SAI
10,115.31720043379467,111.81783036917892,SAI
11,227.66903997478406,225.9667820373466,SAI
12,120.3104995037242,112.35462334084943,SAI
13,216.14306076807725,216.51139909302353,RUS
14,275.164118980279,273.4428390387686,SAI
15,215.24980251143595,212.85105611016968,SAI
16,189.14195984728923,199.84138415011316,RUS
17,251.90555586287678,249.40200568658008,SAI
18,203.72559896194429,194.77435312846757,SAI
19,170.21049595353875,183.066479905537,RUS
20,261.49005563233237,260.59603698837867,SAI
21,285.91242507106494,286.72245185898083,RUS
22,170.27872908197511,163.60710787424455,SAI
23,207.08523318659698,216.61843197460317,RUS
24,269.9920711580806,270.0911939373344,RUS
