Minisector,ANT,HUL,Fastest
0,303.40013156432144,300.67836737460937,ANT
1,200.73280605710588,179.97162872382754,ANT
2,211.9803595813691,221.4070157854601,HUL
3,273.84743681940415,274.7130043594068,HUL
4,247.5720305346351,230.67598428257534,ANT
5,125.27770809862604,123.06285994824128,ANT
6,199.79885257711655,195.1162555848825,ANT
7,231.9612955716336,238.46990625944034,HUL
8,216.00567024063295,223.21570890600785,HUL
9,222.66496271157175,225.11512322498228,HUL
10,270.9632211274643,273.2491824413931,HUL
11,290.872402697984,290.82689015151516,ANT
12,304.9083959899749,299.49306832473485,ANT
13,321.0353279235396,303.8851378446115,ANT
14,328.54428575193276,305.26591432871885,ANT
15,223.774064262657,237.96001378838417,HUL
16,229.18534740076677,225.10188078955173,ANT
17,280.52925806887873,273.2654319371204,ANT
18,303.5206765142703,290.3411948337156,ANT
19,142.54614688756413,143.23968366905703,HUL
20,190.85714113891026,199.22921695437253,HUL
21,190.94376727401223,164.5940098036307,ANT
22,133.12905487131036,149.7462379301962,HUL
23,231.60654497948914,243.56665307604794,HUL
24,294.3894883126207,284.1215213001205,ANT
