Minisector,SAI,PER,Fastest
0,260.65726118310727,261.78073496088695,PER
1,278.2020634311111,280.33420715411256,PER
2,283.7623631541853,288.02253811266274,PER
3,134.58441517083853,127.02508054586357,SAI
4,190.6531060077073,190.92721086206362,PER
5,251.72311414919673,249.44472281933233,SAI
6,140.1705407690261,138.9134532560044,SAI
7,206.47225317128445,198.10773727502223,SAI
8,253.9202932413673,256.36022638108136,PER
9,274.3879563598763,276.8494119715738,PER
10,229.94326530612247,227.87449237656568,SAI
11,174.64006311638803,179.37560072613132,PER
12,184.0830597516957,184.4257719349495,PER
13,146.62702400371387,143.03219910123448,SAI
14,165.06954966483275,169.6584061410101,PER
15,155.37976157742506,155.31228857086796,SAI
16,213.5663785211538,208.764713084477,SAI
17,230.7883005286627,231.60278664701755,PER
18,232.88587850434683,224.60882683377775,SAI
19,234.31436181813663,243.6946483234287,PER
20,144.15183240167764,144.00225196620684,SAI
21,132.05284974234132,142.04368262302526,PER
22,166.5245836629218,161.1997130444868,SAI
23,147.8152508615787,146.54308817747898,SAI
24,227.40954851184156,221.3972965170468,SAI
25,,248.11573925925927,PER
