Minisector,VET,RAI,Fastest
0,276.2537085399324,276.72488366830265,RAI
1,294.80658435534974,294.24327261371565,VET
2,300.62896361059313,301.6098207560679,RAI
3,133.24351528974472,130.7866083078298,VET
4,198.5633762311766,194.46322437613614,VET
5,263.19203767600266,261.1275580105663,VET
6,143.46360931992947,142.36048367086505,VET
7,209.73292160269392,206.16762705215106,VET
8,265.8100683637724,263.38291268697174,VET
9,284.9473814136178,284.8518231333333,VET
10,241.8411497892633,236.56821911569492,VET
11,183.665357923579,185.80957106860097,RAI
12,192.45105927723824,193.89019140217172,RAI
13,145.91956346712004,148.13867114297736,RAI
14,176.59028013336248,172.92635278380507,VET
15,161.69230271274958,159.81598507460282,VET
16,218.00444311267276,214.33769925851465,VET
17,236.82664662961696,237.93504876109463,RAI
18,239.82633795342562,241.01560879256255,RAI
19,249.4122396102248,256.519248749116,RAI
20,142.34309587290016,144.0948119699065,RAI
21,139.06647638737095,134.8544904332155,VET
22,168.86321195570684,170.31285506494723,RAI
23,151.02930861308178,152.0201851591497,RAI
24,232.822280406797,233.60241109049258,RAI
25,262.32142628571427,,VET
