Minisector,BOT,LEC,Fastest
0,288.13192754157564,302.003968152381,LEC
1,304.07687498666667,324.9108716317889,LEC
2,299.73269465874426,318.8427083733333,LEC
3,191.88316115669244,184.50858728123634,BOT
4,229.63937714871795,230.03070027252747,LEC
5,214.97499328779276,212.175524460295,BOT
6,199.2441629984639,197.78377484976957,BOT
7,224.23439076751444,219.24154853448522,BOT
8,257.8135166984127,260.5830226815735,LEC
9,261.7654235986127,267.3513893333333,LEC
10,183.11416100707632,179.5043558514851,BOT
11,244.89167801555072,247.42098994000983,LEC
12,123.11551981601697,122.73918429951925,BOT
13,230.83262873191913,236.6005030521166,LEC
14,271.0852182663038,280.50896457416604,LEC
15,278.9130435060869,291.5301586793651,LEC
16,216.15018019074668,214.4380846386079,BOT
17,200.37307044632618,187.28515749252153,BOT
18,273.4976095688989,277.88169451548526,LEC
19,294.8672889004329,303.5137783545863,LEC
20,304.69949403428575,314.9789473684211,LEC
21,304.01270837333334,314.94211066213535,LEC
22,251.63309525942856,264.59831344761903,LEC
23,122.74989307123809,114.91949697897574,BOT
24,248.83412266201094,247.7782485419169,BOT
25,275.90000274285717,283.1333333333333,LEC
