Minisector,PIA,VER,Fastest
0,274.8436364509091,306.18904730048,VER
1,309.732776768,328.23686878383836,VER
2,288.17851151809526,317.96822894102445,VER
3,169.66959391727215,170.43609248290204,VER
4,218.96967490324784,210.35689947454654,PIA
5,194.9232107008547,192.47837402866946,PIA
6,180.2233568824117,178.31725261348274,PIA
7,213.05157837575757,201.6710836644235,PIA
8,253.0242347755102,253.99784534368086,VER
9,244.88059532867726,256.029416842963,VER
10,177.4831440406668,167.63624861193514,PIA
11,237.47967945922275,227.99784987537416,PIA
12,119.11126843001789,129.86794223218848,VER
13,243.31871541241367,224.79942975920946,PIA
14,274.6749378220408,276.3760074148341,VER
15,270.3792620948088,274.50402597818186,VER
16,204.59516821177675,210.3104275383117,VER
17,193.38278324356006,181.9011259999622,PIA
18,288.5275205250153,277.2607241773886,PIA
19,315.92839277714285,319.39040981340924,VER
20,310.9653769396825,326.3057407017989,VER
21,291.67201738018633,305.26495276800347,VER
22,255.66380598814814,280.4615888505594,VER
23,124.59802995734826,122.84659410861163,PIA
24,245.49864364062495,230.85050481063297,PIA
25,,284.6147148218182,VER
