Minisector,STR,GAS,Fastest
0,290.46477019083926,291.16911889657916,GAS
1,298.74204541090904,302.48463241322634,GAS
2,303.4564979326984,309.18467787114844,GAS
3,295.1833035009702,299.4408383461587,GAS
4,159.91549311731137,163.6903141516199,GAS
5,208.62309530257863,203.36967372465793,STR
6,236.63583284977776,233.78311194653298,STR
7,262.24208301087947,263.18429630319696,GAS
8,247.25906100538037,256.361,GAS
9,157.21354401391758,158.91236408263754,GAS
10,224.11091690946913,218.96278950724638,STR
11,125.34333884937386,130.3527298856819,GAS
12,224.0210658725898,223.93325396825398,STR
13,171.7236897582631,182.06565916680154,GAS
14,216.6477477179209,201.07730848861283,STR
15,238.0077886002886,230.38862005171313,STR
16,258.6229023670387,258.20329166666664,STR
17,281.26463583386317,279.80947146172844,STR
18,149.80381819864965,158.77037916005,GAS
19,160.27320310379025,159.08225368561577,STR
20,137.02613310484273,138.52639386760234,GAS
21,224.11849884997383,229.88608257457062,GAS
22,261.04306613494043,262.3241987096225,GAS
23,250.14970332577477,246.6288976778166,STR
24,272.74003378666015,271.3666666666667,STR
25,,284.8812496,GAS
