Minisector,VER,HUL,Fastest
0,277.9276960627451,276.33496178552076,VER
1,299.6297224533334,299.62548045128204,VER
2,310.9265625333333,311.5976562,HUL
3,317.81904754285716,319.0433673469388,HUL
4,321.66547619047617,324.49434521904766,HUL
5,322.1596846581734,322.67435897435894,HUL
6,199.52280827733333,213.71122814891777,HUL
7,112.1798854441113,105.89847717491621,VER
8,193.65094353015874,192.53290253952886,VER
9,266.23564115975194,266.5696426935574,HUL
10,292.3367462704762,292.88214285714287,HUL
11,159.09692345396826,169.71642397497914,HUL
12,103.37858018138436,99.57013223917546,VER
13,123.06084653968254,117.86512221586231,VER
14,220.76771106449416,223.85535781854637,HUL
15,195.1539607173875,185.0227823296792,VER
16,234.15232561718983,227.25104300490912,VER
17,185.16910840222326,176.09535987956346,VER
18,244.69117647058823,241.04035138245615,VER
19,282.62086884553355,281.5431544285714,VER
20,249.61104650165467,250.01474307228412,HUL
21,150.63745983748183,145.4899814219994,VER
22,102.80251875221443,98.91992174936722,VER
23,130.7584498270775,128.21833943188176,VER
24,230.33207382800063,227.86691280489907,VER
25,259.03333546666664,259.89999680000005,HUL
