Minisector,RAI,HAR,Fastest
0,298.97537429036544,285.28506646293266,RAI
1,251.5673828038095,246.50382802118708,RAI
2,271.2811126542837,268.74771774814815,RAI
3,297.0690674611527,282.94511942019665,RAI
4,132.62440005553606,125.39269691186894,RAI
5,215.6645132292957,214.45699435002754,RAI
6,273.0342389210576,266.34476630711777,RAI
7,292.78068864702425,288.51285412346226,RAI
8,301.5750637720277,297.7502451956454,RAI
9,304.7836697872114,303.391927,RAI
10,287.7360290365669,289.15379373525604,HAR
11,104.20132185326486,101.18897990735276,RAI
12,229.4832770174049,221.4780567541731,RAI
13,278.1553240822032,271.02403397572124,RAI
14,269.8156450354924,268.53132219565805,RAI
15,130.99331699214576,132.18988344772438,HAR
16,211.87995809431578,207.81573750847178,RAI
17,262.6019505354497,256.9312071884721,RAI
18,245.88187519029208,256.7521109953382,HAR
19,242.5552422263716,244.97189368711187,HAR
20,150.87442057067398,142.4864735020376,RAI
21,194.51851184900954,190.90658592526577,RAI
22,179.11247369766247,171.3332747073273,RAI
23,195.2077342527624,185.23675362530867,RAI
24,257.44605500841095,248.89204404679523,RAI
25,,272.0,HAR
