Minisector,RAI,GAS,Fastest
0,272.0035715809524,262.1746533361165,RAI
1,137.34774477781704,134.83518092320585,RAI
2,187.58442363597885,187.21899857492448,RAI
3,244.21888737457954,240.29583303111113,RAI
4,261.9355166359383,260.32611911774706,RAI
5,183.5554456931743,192.80033963977456,GAS
6,143.16874263459772,141.43136747456995,RAI
7,177.03739844276328,178.7210426303963,GAS
8,101.86926809196763,103.43042975949322,GAS
9,75.04137355276536,76.51525203355534,GAS
10,90.92205229227834,90.80037647267878,RAI
11,167.55453957503417,164.92716891480885,RAI
12,245.12979209403463,237.20611131259258,RAI
13,270.8265695419545,262.9630977776779,RAI
14,277.5648530657508,278.40316191876315,GAS
15,110.52155754285714,126.17588927550747,GAS
16,140.33200407968877,129.31881811291294,RAI
17,193.12688209309542,187.78036128808498,RAI
18,195.18234138910748,188.54535003571064,RAI
19,218.38942774986938,217.45173333431842,RAI
20,128.89096788510062,128.1941464606532,RAI
21,120.81609021968254,114.64949974943025,RAI
22,89.07107711916576,86.92541632119608,RAI
23,190.2494708152048,187.25467188124202,RAI
24,249.96808074285715,243.02442493540968,RAI
